ORD_ID,ORD_DATE,ORD_PRIORITY,ORD_DISCOUNT,QUANTITY_ORDERED_NEW
6,20/02/2013,Not Specified,0.01,2
193,07/08/2011,Critical,0.06,25
322,18/03/2013,Critical,0.08,20
322,18/03/2013,Critical,0.1,46
358,19/09/2011,High,0.02,60
358,19/09/2011,High,0.07,60
359,18/12/2010,Medium,0.08,56
386,24/01/2012,High,0.02,4
386,24/01/2012,High,0.09,4
388,15/12/2013,Not Specified,0.06,92
454,26/12/2012,Low,0.09,84
548,20/09/2010,Critical,0.04,75
548,20/09/2010,Critical,0.02,53
548,20/09/2010,Critical,0.04,47
612,20/10/2013,Medium,0.1,105
612,20/10/2013,Medium,0.01,90
613,17/06/2012,High,0.03,20
613,17/06/2012,High,0.09,36
646,21/11/2010,High,0.01,61
738,01/03/2011,Not Specified,0.04,7
738,01/03/2011,Not Specified,0.08,31
773,25/09/2011,Medium,0.06,69
835,07/10/2012,Not Specified,0.02,35
962,05/05/2010,Low,0.06,48
962,05/05/2010,Low,0.08,68
1222,04/02/2011,Medium,0.08,48
1447,14/10/2013,High,0.07,84
1537,14/02/2013,Not Specified,0.07,5
1793,11/07/2013,Not Specified,0.03,50
1829,07/05/2013,High,0.07,62
1856,19/03/2013,Not Specified,0.08,24
1856,19/03/2013,Not Specified,0.05,43
1856,19/03/2013,Not Specified,0.1,44
2209,09/07/2013,High,0,38
2209,09/07/2013,High,0.02,1
2209,09/07/2013,High,0.08,59
2209,09/07/2013,High,0.1,18
2309,03/09/2012,Low,0.05,14
2311,01/05/2012,High,0.01,49
2368,19/08/2011,Critical,0.08,65
2433,21/08/2010,Not Specified,0.07,25
2467,15/07/2012,Not Specified,0.09,41
2497,26/08/2013,Critical,0.06,42
2563,18/11/2011,Not Specified,0.04,41
2563,18/11/2011,Not Specified,0.01,112
2757,19/07/2012,High,0.05,57
2759,24/11/2011,Not Specified,0,85
2947,25/04/2012,Critical,0.05,9
2978,02/05/2012,Critical,0.01,53
2978,02/05/2012,Critical,0.09,57
2978,02/05/2012,Critical,0.07,44
3008,07/11/2012,Medium,0.01,139
3042,20/11/2010,Medium,0.1,88
3136,09/08/2013,Not Specified,0.1,16
3138,08/02/2010,Not Specified,0.07,4
3266,16/03/2012,Low,0.03,4
3271,31/12/2012,Critical,0.07,90
3271,31/12/2012,Critical,0.06,36
3332,04/11/2010,Critical,0.01,20
3397,22/06/2010,Medium,0.1,65
3397,22/06/2010,Medium,0.09,17
3460,02/10/2012,High,0.08,53
3524,02/05/2013,High,0,27
3585,22/11/2013,High,0.07,97
3585,22/11/2010,High,0.07,116
3621,05/05/2013,Medium,0.06,18
3685,16/01/2013,Medium,0,32
3841,04/10/2010,Not Specified,0.02,34
3841,04/10/2010,Not Specified,0.02,36
3841,04/10/2013,Not Specified,0.05,90
3905,20/12/2011,Not Specified,0.03,78
4004,06/05/2011,Medium,0.1,20
4004,06/05/2011,Medium,0.05,64
4294,14/08/2013,Medium,0.02,16
4610,17/06/2011,Low,0.09,12
4610,17/06/2011,Low,0.08,44
4674,18/04/2013,Critical,0.02,23
4769,13/04/2012,Not Specified,0.01,46
4771,13/12/2013,Critical,0.04,8
4839,09/05/2010,Critical,0.05,35
5153,25/08/2012,Critical,0.04,73
5217,12/10/2012,High,0.03,16
5217,12/10/2012,High,0.09,22
5346,25/12/2011,Critical,0.07,63
5346,25/12/2011,Critical,0.1,83
5346,25/12/2011,Critical,0.08,31
5441,20/07/2013,Not Specified,0.02,48
5441,20/07/2013,Not Specified,0.04,22
5444,17/03/2012,Critical,0.08,2
5504,05/01/2013,High,0.06,7
5504,05/01/2011,High,0.04,15
5509,07/04/2010,Low,0.02,11
5509,07/04/2010,Low,0.03,21
5543,24/09/2011,Medium,0.04,27
5543,24/09/2011,Medium,0.04,11
5543,24/09/2011,Medium,0.02,49
5702,06/09/2011,Not Specified,0.01,36
5703,15/05/2011,Medium,0.06,42
5890,03/11/2013,High,0,151
5920,19/11/2010,High,0.07,14
5984,17/06/2013,Low,0.06,56
5984,17/06/2010,Low,0.03,63
5984,17/06/2010,Low,0.03,17
5986,21/04/2013,High,0.08,48
5986,21/04/2013,High,0.05,20
5986,21/04/2013,High,0.03,41
6180,11/04/2012,Medium,0.01,49
6562,20/12/2010,Critical,0.02,22
6950,26/03/2013,Low,0.08,4
7042,08/01/2013,Medium,0.07,4
7078,11/04/2011,High,0.01,9
7078,11/04/2011,High,0.1,11
7078,11/04/2011,High,0.05,16
7078,11/04/2011,High,0.02,29
7079,08/02/2011,Medium,0.01,44
7079,08/02/2011,Medium,0.03,18
7107,04/01/2013,Not Specified,0.02,3
7107,04/01/2013,Not Specified,0.06,3
7107,04/01/2013,Not Specified,0.1,35
7142,21/07/2012,Critical,0.06,49
7203,08/01/2013,High,0.03,28
7335,29/05/2011,Low,0.01,62
7364,08/05/2010,High,0.09,22
7619,08/10/2011,Not Specified,0.02,14
7623,28/10/2010,Critical,0.03,32
7623,28/10/2010,Critical,0.06,67
7623,28/10/2010,Critical,0.1,58
7751,23/12/2013,Not Specified,0.01,90
7909,03/01/2010,High,0.03,29
8000,19/09/2011,Low,0.08,18
8000,19/09/2011,Low,0.04,2
8001,19/11/2011,High,0.1,51
8001,19/11/2011,High,0.01,160
8131,03/05/2011,Critical,0.01,35
8165,15/10/2010,Low,0.01,63
8257,22/03/2013,Low,0.05,5
8257,22/03/2010,Low,0.02,18
8257,22/03/2013,Low,0.03,5
8353,15/05/2013,Medium,0.06,44
8353,15/05/2010,Medium,0.08,23
8419,29/09/2012,Critical,0.07,37
8419,29/09/2012,Critical,0.1,47
8833,04/05/2013,Low,0,52
8994,07/04/2010,Low,0.1,36
9062,20/03/2012,High,0.06,36
9062,20/03/2012,High,0.06,21
9285,02/01/2010,Critical,0.06,3
9344,06/12/2012,Low,0.09,36
9344,06/12/2012,Low,0.02,62
9409,05/05/2013,Critical,0.1,16
9476,25/05/2013,Not Specified,0.08,13
9606,27/07/2010,Not Specified,0.02,47
9606,27/07/2010,Not Specified,0.07,44
9894,18/03/2013,High,0.08,16
9895,20/04/2011,Low,0.05,9
10080,12/02/2011,Low,0,20
10081,07/08/2011,Not Specified,0.02,88
10147,09/10/2011,High,0.04,40
10247,10/01/2011,Medium,0.06,21
10247,10/01/2011,Medium,0.03,24
10277,07/04/2010,Medium,0,36
10373,25/06/2011,Critical,0.03,42
10435,10/08/2011,Medium,0.06,68
10435,10/08/2013,Medium,0.05,92
