PROD_ID,PROD_NAME,UNIT_PRICE,PROD_CATEGORY,PROD_SUB_CATEGORY,PROD_CONTAINER,PROD_BASE_MARGIN
1,Kleencut® Forged Office Shears by Acme United Corporation,2.08,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.55
2,Eldon Simplefile® Box Office®,12.44,Office Supplies,Storage & Organization,Medium Box,0.57
3,I888 World Phone,155.99,Technology,Telephones and Communication,Small Box,0.60
4,Xerox 1997,6.48,Office Supplies,Paper,Small Box,0.37
5,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,Furniture,Bookcases,Jumbo Box,0.69
6,"80 Minute CD-R Spindle, 100/Pack - Staples",39.48,Technology,Computer Peripherals,Small Pack,0.54
7,Bevis 36 x 72 Conference Tables,124.49,Furniture,Tables,Jumbo Box,0.63
8,Avery 501,3.69,Office Supplies,Labels,Small Box,0.38
9,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,3.85,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
10,Harmony HEPA Quiet Air Purifiers,11.7,Office Supplies,Appliances,Medium Box,0.50
11,Staples Bulk Pack Metal Binder Clips,6.08,Office Supplies,Rubber Bands,Wrap Bag,0.35
12,Avery 481,3.08,Office Supplies,Labels,Small Box,0.37
13,Xerox 1976,6.48,Office Supplies,Paper,Small Box,0.37
14,V3682,125.99,Technology,Telephones and Communication,Small Box,0.59
15,Xerox 1928,5.28,Office Supplies,Paper,Small Box,0.40
16,6190,65.99,Technology,Telephones and Communication,Small Box,0.55
17,"Angle-D Binders with Locking Rings, Label Holders",7.3,Office Supplies,Binders and Binder Accessories,Small Box,0.38
18,"SAFCO Mobile Desk Side File, Wire Frame",42.76,Office Supplies,Storage & Organization,Small Box,0.59
19,Acme® Forged Steel Scissors with Black Enamel Handles,9.31,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.56
20,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,80.98,Office Supplies,Appliances,Small Box,0.59
21,Xerox 23,6.48,Office Supplies,Paper,Small Box,0.37
22,Talkabout T8367,65.99,Technology,Telephones and Communication,Small Box,0.56
23,Xerox 23,6.48,Office Supplies,Paper,Small Box,0.37
24,GBC Therma-A-Bind 250T Electric Binding System,122.99,Office Supplies,Binders and Binder Accessories,Small Box,0.37
25,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,Office Supplies,Appliances,Jumbo Drum,0.41
26,Xerox 1981,5.28,Office Supplies,Paper,Small Box,0.40
27,SC-3160,65.99,Technology,Telephones and Communication,Small Box,0.59
28,Peel & Stick Add-On Corner Pockets,2.16,Office Supplies,Binders and Binder Accessories,Small Box,0.37
29,GBC Standard Plastic Binding Systems' Combs,6.28,Office Supplies,Binders and Binder Accessories,Small Box,0.40
30,Wilson Jones Suede Grain Vinyl Binders,2.78,Office Supplies,Binders and Binder Accessories,Small Box,0.36
31,Euro Pro Shark Stick Mini Vacuum,60.98,Office Supplies,Appliances,Large Box,0.59
32,M3682,125.99,Technology,Telephones and Communication,Small Box,0.57
33,StarTAC 6500,125.99,Technology,Telephones and Communication,Small Box,0.59
34,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,320.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.57
35,Wirebound Voice Message Log Book,4.76,Office Supplies,Paper,Wrap Bag,0.39
36,Newell 336,4.28,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
37,270c,125.99,Technology,Telephones and Communication,Small Box,0.59
38,Durable Pressboard Binders,3.8,Office Supplies,Binders and Binder Accessories,Small Box,0.38
39,Eldon Executive Woodline II Cherry Finish Desk Accessories,40.89,Furniture,Office Furnishings,Small Box,0.57
40,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",14.81,Office Supplies,Appliances,Small Box,0.43
41,Lexmark 4227 Plus Dot Matrix Printer,2036.48,Technology,Office Machines,Jumbo Drum,0.55
42,Panasonic KX-P1150 Dot Matrix Printer,145.45,Technology,Office Machines,Jumbo Drum,0.56
43,i470,205.99,Technology,Telephones and Communication,Small Box,0.56
44,Avery 494,2.61,Office Supplies,Labels,Small Box,0.39
45,Newell 315,5.98,Office Supplies,Pens & Art Supplies,Wrap Bag,0.60
46,"Acme® 8"" Straight Scissors",12.98,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.60
47,Belkin ErgoBoard™ Keyboard,30.98,Technology,Computer Peripherals,Small Box,0.64
48,Xerox 1930,6.48,Office Supplies,Paper,Small Box,0.36
49,iDEN i550,205.99,Technology,Telephones and Communication,Small Box,0.60
50,Multimedia Mailers,162.93,Office Supplies,Envelopes,Small Box,0.39
51,2160i,200.99,Technology,Telephones and Communication,Small Box,0.59
52,Multimedia Mailers,162.93,Office Supplies,Envelopes,Small Box,0.39
53,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",4.26,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
54,"Boston School Pro Electric Pencil Sharpener, 1670",30.98,Office Supplies,Pens & Art Supplies,Small Pack,0.58
55,Motorola SB4200 Cable Modem,179.99,Technology,Computer Peripherals,Small Box,0.48
56,Durable Pressboard Binders,3.8,Office Supplies,Binders and Binder Accessories,Small Box,0.38
57,Panasonic KX-P1131 Dot Matrix Printer,264.98,Technology,Office Machines,Jumbo Drum,0.58
58,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",8.34,Office Supplies,Paper,Wrap Bag,0.35
59,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",3.26,Office Supplies,Pens & Art Supplies,Wrap Bag,0.41
60,Belkin 105-Key Black Keyboard,19.98,Technology,Computer Peripherals,Small Box,0.68
61,Avery Durable Binders,2.88,Office Supplies,Binders and Binder Accessories,Small Box,0.36
62,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",5.98,Office Supplies,Storage & Organization,Small Box,0.68
63,Computer Printout Paper with Letter-Trim Perforations,18.97,Office Supplies,Paper,Small Box,0.37
64,Riverleaf Stik-Withit® Designer Note Cubes®,10.06,Office Supplies,Paper,Wrap Bag,0.39
65,Newell 323,1.68,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59
66,Staples Brown Kraft Recycled Clasp Envelopes,5.58,Office Supplies,Envelopes,Small Box,0.35
67,Newell 35,3.28,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
68,Euro Pro Shark Stick Mini Vacuum,60.98,Office Supplies,Appliances,Large Box,0.59
69,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,Office Supplies,Binders and Binder Accessories,Small Box,0.35
70,StarTAC 8000,205.99,Technology,Telephones and Communication,Small Box,0.60
