SALES_ID,CUST_ID,PROD_ID,ORD_ID,SHIPPING_ID,ORD_DATE,SHIP_DATE,PROD_NAME,Process Time Difference,Profit,Sales
1,2867,1,6,1,20/02/2013,21/02/2013,Kleencut® Forged Office Shears by Acme United Corporation,1 days 0 hrs 0 mins ,-4.64,6.93
2,1821,2,193,2,07/08/2011,09/08/2011,Eldon Simplefile® Box Office®,2 days 0 hrs 0 mins ,-37.04,312.3
3,1402,3,322,3,18/03/2013,20/03/2013,I888 World Phone,2 days 0 hrs 0 mins ,257.76,"2,634.86"
4,1402,4,322,4,18/03/2013,20/03/2013,Xerox 1997,2 days 0 hrs 0 mins ,-291.59,281
5,2747,5,358,5,19/09/2011,21/09/2011,O'Sullivan 2-Shelf Heavy-Duty Bookcases,2 days 0 hrs 0 mins ,"-1,348.06","2,983.45"
6,2747,6,358,6,19/09/2011,19/09/2011,"80 Minute CD-R Spindle, 100/Pack - Staples",0 days 0 hrs 0 mins ,269.27,"2,247.04"
7,553,7,359,7,18/12/2010,19/12/2010,Bevis 36 x 72 Conference Tables,1 days 0 hrs 0 mins ,-500.38,"6,831.37"
8,3289,8,386,8,24/01/2012,26/01/2012,Avery 501,2 days 0 hrs 0 mins ,-0.05,14.96
9,3289,9,386,9,24/01/2012,26/01/2012,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,2 days 0 hrs 0 mins ,-2.54,15.69
10,1630,10,388,10,15/12/2013,18/12/2013,Harmony HEPA Quiet Air Purifiers,3 days 0 hrs 0 mins ,-94.73,"1,035.86"
11,898,11,454,11,26/12/2012,28/12/2012,Staples Bulk Pack Metal Binder Clips,2 days 0 hrs 0 mins ,56.22,468.4
12,3106,12,548,12,20/09/2010,21/09/2010,Avery 481,1 days 0 hrs 0 mins ,36.02,236.87
13,3106,13,548,13,20/09/2010,21/09/2010,Xerox 1976,1 days 0 hrs 0 mins ,-50.64,370.91
14,3106,14,548,14,20/09/2010,22/09/2010,V3682,2 days 0 hrs 0 mins ,510.49,"4,976.92"
15,3011,15,612,15,20/10/2013,22/10/2013,Xerox 1928,2 days 0 hrs 0 mins ,-166.29,552.03
16,3011,16,612,16,20/10/2013,22/10/2013,6190,2 days 0 hrs 0 mins ,881.68,"5,297.63"
17,563,17,613,17,17/06/2012,17/06/2012,"Angle-D Binders with Locking Rings, Label Holders",0 days 0 hrs 0 mins ,-54.04,155.9
18,563,18,613,18,17/06/2012,18/06/2012,"SAFCO Mobile Desk Side File, Wire Frame",1 days 0 hrs 0 mins ,127.7,"1,481.04"
19,1106,19,646,19,21/11/2010,22/11/2010,Acme® Forged Steel Scissors with Black Enamel Handles,1 days 0 hrs 0 mins ,-10.9,586.96
20,607,20,738,20,01/03/2011,03/03/2011,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,2 days 0 hrs 0 mins ,32.6,560.51
21,607,21,738,21,01/03/2011,02/03/2011,Xerox 23,1 days 0 hrs 0 mins ,-56.68,189.95
22,1488,22,773,22,25/09/2011,26/09/2011,Talkabout T8367,1 days 0 hrs 0 mins ,324.93,"3,761.12"
23,1106,23,835,23,07/10/2012,08/10/2012,Xerox 23,1 days 0 hrs 0 mins ,-28.18,243.37
24,2382,24,962,24,05/05/2010,07/05/2010,GBC Therma-A-Bind 250T Electric Binding System,2 days 0 hrs 0 mins ,"1,408.19","5,911.35"
25,2382,25,962,25,05/05/2010,07/05/2010,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",2 days 0 hrs 0 mins ,"-1,069.72","4,649.85"
26,2491,26,1222,26,04/02/2011,04/02/2011,Xerox 1981,0 days 0 hrs 0 mins ,-121.91,257.39
27,308,27,1447,27,14/10/2013,17/10/2013,SC-3160,3 days 0 hrs 0 mins ,239.4,"4,485.54"
28,1413,28,1537,28,14/02/2013,14/02/2013,Peel & Stick Add-On Corner Pockets,0 days 0 hrs 0 mins ,-20.3,16.6
29,1745,29,1793,29,11/07/2013,11/07/2013,GBC Standard Plastic Binding Systems' Combs,0 days 0 hrs 0 mins ,-95.62,324.21
30,3251,30,1829,30,07/05/2013,08/05/2013,Wilson Jones Suede Grain Vinyl Binders,1 days 0 hrs 0 mins ,6.73,171.84
31,94,31,1856,31,19/03/2013,21/03/2013,Euro Pro Shark Stick Mini Vacuum,2 days 0 hrs 0 mins ,-712.14,"1,449.30"
32,94,32,1856,32,19/03/2013,20/03/2013,M3682,1 days 0 hrs 0 mins ,973.16,"4,374.69"
33,94,33,1856,33,19/03/2013,20/03/2013,StarTAC 6500,1 days 0 hrs 0 mins ,676.13,"4,283.24"
34,2645,34,2209,34,09/07/2013,11/07/2013,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,2 days 0 hrs 0 mins ,"2,245.24","13,255.99"
35,2645,35,2209,35,09/07/2013,10/07/2013,Wirebound Voice Message Log Book,1 days 0 hrs 0 mins ,-1.82,5.68
36,2645,36,2209,36,09/07/2013,09/07/2013,Newell 336,0 days 0 hrs 0 mins ,25.88,245.26
37,2645,37,2209,37,09/07/2013,10/07/2013,270c,1 days 0 hrs 0 mins ,-161.12,"1,752.23"
38,1193,38,2309,38,03/09/2012,05/09/2012,Durable Pressboard Binders,2 days 0 hrs 0 mins ,-1.3,54.02
39,1314,39,2311,39,01/05/2012,02/05/2012,Eldon Executive Woodline II Cherry Finish Desk Accessories,1 days 0 hrs 0 mins ,94.96,"2,092.92"
40,2882,40,2368,40,19/08/2011,21/08/2011,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",2 days 0 hrs 0 mins ,-305.46,918.54
41,553,41,2433,41,21/08/2010,21/08/2010,Lexmark 4227 Plus Dot Matrix Printer,0 days 0 hrs 0 mins ,"4,073.25","43,046.20"
42,607,42,2467,42,15/07/2012,16/07/2012,Panasonic KX-P1150 Dot Matrix Printer,1 days 0 hrs 0 mins ,586.61,"5,668.21"
43,2303,43,2497,43,26/08/2013,28/08/2013,i470,2 days 0 hrs 0 mins ,636.03,"7,258.24"
44,478,44,2563,44,18/11/2011,19/11/2011,Avery 494,1 days 0 hrs 0 mins ,8.34,108.55
45,478,45,2563,45,18/11/2011,19/11/2011,Newell 315,1 days 0 hrs 0 mins ,46.01,706.11
46,2107,46,2757,46,19/07/2012,20/07/2012,"Acme® 8"" Straight Scissors",1 days 0 hrs 0 mins ,84.38,772.65
47,478,47,2759,47,24/11/2011,26/11/2011,Belkin ErgoBoard™ Keyboard,2 days 0 hrs 0 mins ,45.37,"2,813.40"
48,2645,48,2947,48,25/04/2012,27/04/2012,Xerox 1930,2 days 0 hrs 0 mins ,-29.06,64.17
49,68,49,2978,49,02/05/2012,03/05/2012,iDEN i550,1 days 0 hrs 0 mins ,"1,312.04","9,764.76"
50,68,50,2978,50,02/05/2012,04/05/2012,Multimedia Mailers,2 days 0 hrs 0 mins ,"2,077.91","8,567.34"
51,68,51,2978,51,02/05/2012,03/05/2012,2160i,1 days 0 hrs 0 mins ,947.31,"7,340.38"
52,640,52,3008,52,07/11/2012,08/11/2012,Multimedia Mailers,1 days 0 hrs 0 mins ,"3,081.02","23,161.20"
53,699,53,3042,53,20/11/2010,21/11/2010,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",1 days 0 hrs 0 mins ,15.42,351.56
54,2618,54,3136,54,09/08/2013,11/08/2013,"Boston School Pro Electric Pencil Sharpener, 1670",2 days 0 hrs 0 mins ,-38.89,477.48
55,471,55,3138,55,08/02/2010,08/02/2010,Motorola SB4200 Cable Modem,0 days 0 hrs 0 mins ,-568.54,718.03
56,1129,56,3266,56,16/03/2012,20/03/2012,Durable Pressboard Binders,4 days 0 hrs 0 mins ,-2.55,17.12
57,1745,57,3271,57,31/12/2012,31/12/2012,Panasonic KX-P1131 Dot Matrix Printer,0 days 0 hrs 0 mins ,"1,844.77","23,065.98"
58,1745,58,3271,58,31/12/2012,01/01/2013,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",1 days 0 hrs 0 mins ,34.26,292.2
59,342,59,3332,59,04/11/2010,06/11/2010,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",2 days 0 hrs 0 mins ,-4.67,73.97
60,102,60,3397,60,22/06/2010,24/06/2010,Belkin 105-Key Black Keyboard,2 days 0 hrs 0 mins ,-20.25,"1,233.32"
61,102,61,3397,61,22/06/2010,23/06/2010,Avery Durable Binders,1 days 0 hrs 0 mins ,-3.38,47.31
62,3079,62,3460,62,02/10/2012,04/10/2012,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",2 days 0 hrs 0 mins ,-114.18,300.78
63,2498,63,3524,63,02/05/2013,03/05/2013,Computer Printout Paper with Letter-Trim Perforations,1 days 0 hrs 0 mins ,52.35,549.41
64,181,64,3585,64,22/11/2013,22/11/2013,Riverleaf Stik-Withit® Designer Note Cubes®,0 days 0 hrs 0 mins ,78.05,933.07
65,181,65,3585,65,22/11/2010,23/11/2010,Newell 323,1 days 0 hrs 0 mins ,-35.75,186.59
66,1193,66,3621,66,05/05/2013,06/05/2013,Staples Brown Kraft Recycled Clasp Envelopes,1 days 0 hrs 0 mins ,-28.83,107.83
67,2382,67,3685,67,16/01/2013,17/01/2013,Newell 35,1 days 0 hrs 0 mins ,-156.88,117.83
68,1733,68,3841,68,04/10/2010,06/10/2010,Euro Pro Shark Stick Mini Vacuum,2 days 0 hrs 0 mins ,-662.52,"2,119.54"
69,1733,69,3841,69,04/10/2010,06/10/2010,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2 days 0 hrs 0 mins ,"9,228.23","45,737.33"
70,1733,70,3841,70,04/10/2013,06/10/2013,StarTAC 8000,2 days 0 hrs 0 mins ,"1,680.23","15,296.41"
71,2403,71,3905,71,20/12/2011,21/12/2011,"Global Push Button Manager's Chair, Indigo",1 days 0 hrs 0 mins ,-377.25,"4,713.21"
