Sales,State or Province,City
6.93,District of Columbia,Washington
312.3,New York,New York City
2634.86,Illinois,Chicago
281,Illinois,Chicago
2983.45,New York,New York City
2247.04,New York,New York City
6831.37,California,Los Angeles
14.96,California,Los Angeles
15.69,California,Los Angeles
1035.86,Texas,Houston
468.4,New York,New York City
236.87,Texas,Houston
370.91,Texas,Houston
4976.92,Texas,Houston
552.03,Massachusetts,Boston
5297.63,Massachusetts,Boston
155.9,Texas,Dallas
1481.04,Texas,Dallas
586.96,Texas,Dallas
560.51,New York,New York City
189.95,New York,New York City
3761.12,New York,New York City
243.37,Texas,Dallas
5911.35,New York,New York City
4649.85,New York,New York City
257.39,California,Los Angeles
4485.54,Washington,Seattle
16.6,Massachusetts,Boston
324.21,Georgia,Atlanta
171.84,New York,New York City
1449.3,Illinois,Chicago
4374.69,Illinois,Chicago
4283.24,Illinois,Chicago
13255.99,Washington,Seattle
5.68,Washington,Seattle
245.26,Washington,Seattle
1752.23,Washington,Seattle
54.02,District of Columbia,Washington
2092.92,California,Los Angeles
918.54,North Carolina,Charlotte
43046.2,California,Los Angeles
5668.21,New York,New York City
7258.24,New York,New York City
108.55,New York,New York City
706.11,New York,New York City
772.65,Illinois,Chicago
2813.4,New York,New York City
64.17,Washington,Seattle
9764.76,New York,New York City
8567.34,New York,New York City
7340.38,New York,New York City
23161.2,Washington,Seattle
351.56,California,Los Angeles
477.48,New York,New York City
718.03,Georgia,Atlanta
17.12,Massachusetts,Boston
23065.98,Georgia,Atlanta
292.2,Georgia,Atlanta
73.97,Florida,Miami
1233.32,Massachusetts,Boston
47.31,Massachusetts,Boston
300.78,Pennsylvania,Philadelphia
549.41,California,San Diego
933.07,California,San Francisco
186.59,California,San Francisco
107.83,District of Columbia,Washington
117.83,New York,New York City
2119.54,District of Columbia,Washington
45737.33,District of Columbia,Washington
15296.41,District of Columbia,Washington
4713.21,Illinois,Chicago
90.74,Massachusetts,Boston
2199.64,Massachusetts,Boston
35.44,New York,New York City
100.32,California,Los Angeles
678.72,California,Los Angeles
3041.33,Texas,Dallas
131.72,Florida,Miami
271.86,California,Los Angeles
232.5,North Carolina,Charlotte
9661.51,New York,New York City
678.7,Illinois,Chicago
67.34,Illinois,Chicago
5434.66,Florida,Miami
16959.3,Florida,Miami
4166.98,Florida,Miami
320.23,New York,New York City
383.52,New York,New York City
885.94,Florida,Miami
57.81,Michigan,Detroit
606.56,Michigan,Detroit
68.46,North Carolina,Charlotte
