Sales,Year
6.93,2013
312.3,2011
2634.86,2013
281,2013
2983.45,2011
2247.04,2011
6831.37,2010
14.96,2012
15.69,2012
1035.86,2013
468.4,2012
236.87,2010
370.91,2010
4976.92,2010
552.03,2013
5297.63,2013
155.9,2012
1481.04,2012
586.96,2010
560.51,2011
189.95,2011
3761.12,2011
243.37,2012
5911.35,2010
4649.85,2010
257.39,2011
4485.54,2013
16.6,2013
324.21,2013
171.84,2013
1449.3,2013
4374.69,2013
4283.24,2013
13255.99,2013
5.68,2013
245.26,2013
1752.23,2013
54.02,2012
2092.92,2012
918.54,2011
43046.2,2010
5668.21,2012
7258.24,2013
108.55,2011
706.11,2011
772.65,2012
2813.4,2011
64.17,2012
9764.76,2012
8567.34,2012
7340.38,2012
23161.2,2012
351.56,2010
477.48,2013
718.03,2010
17.12,2012
23065.98,2012
292.2,2012
73.97,2010
1233.32,2010
47.31,2010
300.78,2012
549.41,2013
933.07,2013
186.59,2010
107.83,2013
117.83,2013
2119.54,2010
45737.33,2010
15296.41,2013
4713.21,2011
90.74,2011
2199.64,2011
35.44,2013
100.32,2011
678.72,2011
3041.33,2013
131.72,2012
271.86,2013
232.5,2010
9661.51,2012
678.7,2012
67.34,2012
5434.66,2011
16959.3,2011
4166.98,2011
320.23,2013
383.52,2013
885.94,2012
57.81,2013
606.56,2011
68.46,2010
885.23,2010
1266.37,2011
120.87,2011
122.14,2011
3670.9,2011
518.42,2011
2924.85,2013
2039.07,2010
597.26,2013
696.96,2010
149.41,2010
5556.18,2013
1021.55,2013
205.24,2013
2720.99,2012
31670.6,2010
187.4,2013
1187.86,2013
112.12,2011
49.58,2011
1939.65,2011
465.52,2011
12296.49,2011
128.13,2011
172.04,2013
113.14,2013
1886.52,2013
180.84,2012
24362.25,2013
5308.57,2011
381.91,2010
248.1,2011
9705.46,2010
3247.54,2010
5582.63,2010
9095.8,2013
122.23,2010
268.65,2011
20.28,2011
128.18,2011
3607.56,2011
1046.05,2011
330.21,2010
7486.09,2013
881.32,2010
22.77,2013
371.28,2013
66.7,2010
716.71,2012
298.84,2012
4340.67,2013
1423.35,2010
134.1,2012
2017.57,2012
124.81,2010
3466.2,2012
6897.29,2012
2283.55,2013
214.55,2013
594.44,2010
228.5,2010
5403.75,2013
54.79,2011
637.04,2011
1900.85,2011
175.91,2011
111.66,2011
231.95,2011
2144.92,2010
289.74,2011
1559.08,2011
1075.74,2013
217,2010
324.6,2013
1111.01,2013
2164.86,2013
420.1,2011
2040.95,2011
625.72,2012
3449.26,2013
1076.54,2013
7330.82,2013
41.9,2013
226.88,2010
4620.05,2010
2373.32,2010
325.73,2010
799.3,2012
4906.36,2012
184.03,2011
5555.6,2010
72.78,2012
1650.41,2013
38.96,2010
470.11,2011
684.66,2011
148.34,2013
80.58,2013
1629.12,2013
6771.68,2012
123.62,2012
9704.1,2013
605.82,2010
1569,2010
235.94,2013
1078.42,2012
1483.76,2010
345.69,2011
88.79,2013
